,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Bodyweight Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
,Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Dumbbell,1,None,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,Hip Extension,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
,Miniband Side Lying Clamshell,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
,Miniband Ankle Side Lying Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
,Miniband Bench Seated Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,Bodybuilding
,Miniband Glute Bridge Hip Abduction,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,Hip Abduction,,Sagittal Plane,Transverse Plane,,Lower Body,Other,Compound,Bilateral,Bodybuilding
,Stability Ball Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Stability Ball,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Stability Ball Dumbbell Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Stability Ball,1,Dumbbell,1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Bodyweight Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Adductor Magnus,Bodyweight,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
,Dumbbell Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Adductor Magnus,Dumbbell,1,None,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
,Cable Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Cable,1,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
,Bodyweight Single Leg Foot Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
,Suspension Feet Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Suspension Trainer,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Miniband Thigh Lateral Walk,Video Demonstration,Video Explanation,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Miniband Ankle Lateral Walk,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Miniband Feet Lateral Walk,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Miniband Standing Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Miniband,1,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
,Barbell Hip Thrust,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Barbell,1,Bench (Flat),1,Bridge,Double Arm,Continuous,Pronated,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
,Barbell Single Leg Hip Thrust,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Barbell,1,Bench (Flat),1,Single Leg Bridge,Double Arm,Continuous,Pronated,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
,Stability Ball Single Leg Foot Elevated Glute Bridge,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Stability Ball,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
,Miniband Standing Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Bilateral,Bodybuilding
,Miniband 3 Way Cha Cha,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,Hip Extension,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Cable Hip Abduction,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable,1,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
,Miniband Wall Sit Hip Abduction,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband,1,None,0,Wall Sit,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Bilateral,Unsorted*
,Slider Barbell Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding
,Barbell Shrug,,Video Explanation,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Rhomboids,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Cable Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Cable Seated Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Cable Guillotine Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Supine,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Cable Supine Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Supine,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Cable Straight Bar High Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Double Dumbbell Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,EZ Bar Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,Bench (Incline),1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Stability Ball Cable Preacher Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Stability Ball,1,Cable,1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Single Arm Dumbbell Standing Concentration Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Frontal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,EZ Bar Wide Grip Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Single Arm Cable Standing High Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Standing,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,EZ Bar Seated Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Anterior Deltoids,Rectus Abdominis,EZ Bar,1,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,EZ Bar Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Barbell Thruster,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
,Bodyweight Diamond Push Up,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,EZ Bar Lying Tricep Extension ,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,,,EZ Bar,1,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Cable Rope Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Cable,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Single Arm Cable Reverse Grip Tricep Pushdown,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,,,Cable,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
,EZ Bar Reverse Grip Bicep Curl,Video Demonstration,Video Explanation,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Stability Ball Single Arm Dumbbell Chest Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Stability Ball,1,Dumbbell,1,Supine,Single Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Suspension Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Landmine V Grip Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Landmine,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,Double Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
,Single Arm Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Landmine Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Landmine,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Superband Assisted Bar Pull Up,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Superband,1,Pull Up Bar,1,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Stability Ball Prone Cobra,Video Demonstration,Video Explanation,Novice,Back,Erector Spinae ,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Spinal Extension,,,Sagittal Plane,,,Upper Body,Unsorted*,Isolation,Bilateral,Postural
,Single Arm Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
,Double Dumbbell Pendlay Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
,Cable Straight Bar Pullover,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Cable,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Single Arm Cable Half Kneeling Lat Pulldown,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Cable,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Single Arm Cable Half Kneeling Low Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Cable,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Single Arm Suspension Low Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,Anti-Rotational,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
